,Unnamed: 0,CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,NatRef,lon_x1,lat_y1,lon_x2,lat_y2,Plastic,Plastic.1,Plastic.2,Plastic.3,Plastic.4,Plastic.5,Plastic.6,Plastic.7,Plastic.8,Plastic.9,Plastic.10,Plastic.11,Plastic.12,Plastic.13,Plastic.14,Plastic.15,Plastic.16,Plastic.17,Plastic.18,Plastic.19,Plastic.20,Plastic.21,Plastic.22,Plastic.23,Plastic.24,Plastic.25,Plastic.26,Plastic.27,Plastic.28,Plastic.29,Plastic.30,Plastic.31,Plastic.32,Plastic.33,Plastic.34,Plastic.35,Plastic.36,Plastic.37,Plastic.38,Plastic.39,Plastic.40,Plastic.41,Plastic.42,Plastic.43,Plastic.44,Plastic.45,Plastic.46,Plastic.47,Plastic.48,Plastic.49,Plastic.50,Plastic.51,Plastic.52,Plastic.53,Plastic.54,Plastic.55,Plastic.56,Plastic.57,Plastic.58,Plastic.59,Plastic.60,Plastic.61,Plastic.62,Plastic.63,Plastic.64,Plastic.65,Plastic.66,Plastic.67,Plastic.68,Plastic.69,Plastic.70,Plastic.71,Plastic.72,Plastic.73,Plastic.74,Plastic.75,Plastic.76,Plastic.77,Plastic.78,Plastic.79,Plastic.80,Plastic.81,Plastic.82,Plastic.83,Plastic.84,Plastic.85,Plastic.86,Plastic.87,Plastic.88,Rubber,Rubber.1,Rubber.2,Rubber.3,Rubber.4,Rubber.5,Rubber.6,Rubber.7,Rubber.8,Rubber.9,cloth/textile,cloth/textile.1,cloth/textile.2,cloth/textile.3,cloth/textile.4,cloth/textile.5,cloth/textile.6,cloth/textile.7,cloth/textile.8,Paper/Cardboard,Paper/Cardboard.1,Paper/Cardboard.2,Paper/Cardboard.3,Paper/Cardboard.4,Paper/Cardboard.5,Paper/Cardboard.6,Paper/Cardboard.7,Paper/Cardboard.8,Paper/Cardboard.9,Processed/worked wood,Processed/worked wood.1,Processed/worked wood.2,Processed/worked wood.3,Processed/worked wood.4,Processed/worked wood.5,Processed/worked wood.6,Processed/worked wood.7,Processed/worked wood.8,Processed/worked wood.9,Processed/worked wood.10,Metal,Metal.1,Metal.2,Metal.3,Metal.4,Metal.5,Metal.6,Metal.7,Metal.8,Metal.9,Metal.10,Metal.11,Metal.12,Metal.13,Metal.14,Metal.15,Metal.16,Metal.17,Metal.18,Metal.19,Metal.20,Glass/ceramics,Glass/ceramics.1,Glass/ceramics.2,Glass/ceramics.3,Glass/ceramics.4,Glass/ceramics.5,Glass/ceramics.6,Glass/ceramics.7,Glass/ceramics.8,Glass/ceramics.9,Unidentified,Chemicals,Plastic_sum,Rubber_sum,Cloth_textile_sum,Paper_cardboard_sum,Processed_worked_sum,Metal_sum,Glass_ceramic_sum,unidentified,chemicals
0,0,Legambiente Onlus,"Spiaggia sul Lungomare Falcomat?, Reggio Calabria (RC)",IT,Mediterranean Sea,100,,,20160514,Cleanup,,15.642479999605058,38.109750000199774,15.643479999687756,38.109750000199774,,,15.0,,33.0,28.0,6.0,5.0,,4.0,,3.0,1.0,,1.0,,,117.0,,,,,4.0,2.0,4.0,,,,,,10.0,,,,,,,,,,,,,,,,2116.0,,,,1.0,61.0,,,,,,,,,,,,258.0,,,,,,,,,,,,,,,,,,2.0,2.0,,12.0,8.0,,,2.0,375.0,,,,,,,,103.0,22.0,,5.0,,5.0,,,,2.0,,,10.0,,,348.0,,21.0,,,1.0,,,,,,,1.0,21.0,,15.0,1.0,238.0,2.0,,1.0,1.0,,,,,,,,,,,15.0,,,,1.0,54.0,,,22.0,,,,,,,1.0,,,2695.0,500.0,12.0,380.0,38.0,312.0,23.0,,
1,1,Legambiente Onlus,"Spiaggia di Voltri, Genova (GE)",IT,Mediterranean Sea,100,,,20140516,Cleanup,,8.750700000137451,44.4271799998032,8.75170000022015,44.4271799998032,1.0,,,1.0,11.0,3.0,4.0,5.0,,3.0,7.0,1.0,,,,1.0,,81.0,,,,,7.0,67.0,7.0,,2.0,,7.0,7.0,33.0,,,2.0,,,,1.0,,1.0,,,1.0,2.0,,,,2.0,,,,,,1.0,,2.0,,40.0,3.0,,12.0,8.0,,1.0,25.0,,,,,,,,,,,,,,,,28.0,1.0,2.0,,2.0,9.0,,,45.0,18.0,,,,,,,,,6.0,,,,,,,,,,1.0,4.0,,,2.0,,1.0,,,11.0,5.0,11.0,,,,,,,,2.0,,82.0,8.0,,1.0,3.0,,4.0,,,,,,,,1.0,6.0,,,,4.0,,7.0,,,,53.0,,,,,2.0,,,436.0,24.0,0.0,19.0,18.0,109.0,62.0,,
2,2,Surfrider Foundation Europe,"117 Via Rio Marina, 00054 Fregene, Italie",IT,Mediterranean Sea,83,,,20150515,Cleanup,,12.2039999996307,41.83039999970236,12.204999999713394,41.83039999970236,,,,,7.0,18.0,,,,,,,,,,,,27.0,,,,,5.0,42.0,,,,,3.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,3.0,,,,,4.0,,7.0,,,,,,,,,,,,150.0,,,,,3.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,2.0,,,,274.0,0.0,0.0,0.0,0.0,0.0,14.0,,
3,3,Surfrider Foundation Europe,Burumendi,ES,North-east Atlantic Ocean,21,Urban,Other (mixed),20160810,Cleanup,,-2.3823336633158942,43.31267529197669,-2.3821324388956366,43.31255090808835,,654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4,4,Swiss Litter Report,sihl_leimbach_kruegerm,CH,,99,Urban,Pebbels,20170524,Cleanup,,8.519119454661615,47.32543606664801,8.51948557922533,47.32629066766594,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,23.0,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,2.0,1.0,,,,,,,,,,4.0,,18.0,,,3.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,6.0,,,,29.0,5.0,0.0,5.0,4.0,24.0,6.0,,
5,5,Independent,"Porto Grande, Siracusa, Sicily",IT,Mediterranean Sea,1060,Rural,Other (mixed),20180704,Cleanup,,15.286514565181825,37.06224396397123,15.292481120501714,37.07045628293944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,
6,6,DeFishGear - Slovenia,Bele skale 2 MS Monitoring ,SI,Mediterranean Sea,98,Rural,Pebbels,20141203,Cleanup,,13.62157752604116,45.536524747530954,13.620619975847196,45.53709823769658,,10.0,,,,,1.0,9.0,,,,1.0,,,,,,,4.0,1.0,,3.0,,,,,,1.0,,2.0,,1.0,,,,,,,,2.0,,,,1.0,,,,,,,3.0,,1.0,,,,1.0,2.0,,,,,,,,,5.0,,14.0,,,,,3.0,,,,,,,3.0,,1.0,,,,,,1.0,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,2.0,,,,110.0,,,,70.0,5.0,0.0,0.0,0.0,16.0,112.0,,
7,7,Surfrider Foundation Europe,"Plage Le Gressier, 33680 Le porge, France",FR,North-east Atlantic Ocean,70,,,20150526,Cleanup,,1.5728600000978494,50.40629999989732,1.5738600001805485,50.40629999989732,,50.0,,,,,,,,,,,,,,,,,,,,,,200.0,,,50.0,100.0,10.0,10.0,,20.0,,,,,,,,,,,,60.0,,,,,,,40.0,,,,,,,,,,5.0,5.0,,,,,100.0,,150.0,,,,,,,,,,,,100.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,60.0,20.0,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,50.0,,,,900.0,5.0,5.0,0.0,0.0,80.0,100.0,,
8,8,Independent,Carcavelos Beach,PT,North-east Atlantic Ocean,23,Near river mouth,Sandy,20151211,Cleanup,,-9.335719447638704,38.67984918683109,-9.335812775410187,38.679654652149246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
9,9,Swiss Litter Report,zuerichsee_zurich_kullg,CH,,53,,,20171115,Cleanup,,8.550474341170052,47.35395733704738,8.55053981038795,47.3544310992285,,0.0,3.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,1.0,1.0,10.0,1.0,44.0,0.0,,21.0,0.0,1.0,1.0,1.0,2.0,,0.0,,,,,,,,,0.0,1.0,0.0,,,,,,0.0,,,,,0.0,2.0,19.0,,,0.0,0.0,,,,,30.0,0.0,5.0,0.0,,,,1.0,,0.0,0.0,0.0,,0.0,4.0,0.0,,,0.0,0.0,0.0,,0.0,5.0,0.0,,0.0,,,1.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,3.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,3.0,0.0,27.0,0.0,0.0,0.0,6.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,3.0,0.0,,,0.0,0.0,,,,5.0,0.0,0.0,2.0,148.0,6.0,0.0,4.0,3.0,36.0,5.0,0.0,2.0
