UniqueID,Dataset,Date,Year,Month,Day,Latitude 1,Longitude 1,Latitude 2,Longitude 2,Country,Total Area,Total Area Unit,Total Item Count,Plastic Raw Count,Cloth Raw Count,Rubber Raw Count,Processed Lumbar Raw Count,Metal Raw Count,Glass Raw Count,Other Raw Count,Fishing Gear Raw Count
0,Marine LitterWatch,20160514,2016,05,14,38.10975,15.642479999999999,38.10975,15.643479999999998,IT,100,meters,3363.0,2695.0,12.0,125.0,418.0,90.0,23.0,0.0,0
1,Marine LitterWatch,20140516,2014,05,16,44.42718,8.7507,44.42718,8.7517,IT,100,meters,569.0,436.0,0.0,6.0,37.0,28.0,62.0,0.0,0
2,Marine LitterWatch,20150515,2015,05,15,41.8304,12.204,41.8304,12.205,IT,83,meters,288.0,274.0,0.0,0.0,0.0,0.0,14.0,0.0,0
3,Marine LitterWatch,20160810,2016,08,10,43.31267529,-2.3823336630000003,43.31255091,-2.3821324390000003,ES,21,meters,654.0,654.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,Marine LitterWatch,20170524,2017,05,24,47.32543607,8.519119455,47.32629067,8.519485579,CH,99,meters,55.0,29.0,0.0,5.0,9.0,6.0,6.0,0.0,0
5,Marine LitterWatch,20180704,2018,07,04,37.06224396,15.28651457,37.07045628,15.29248112,IT,1060,meters,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
6,Marine LitterWatch,20141203,2014,12,03,45.53652475,13.62157753,45.53709824,13.62061998,SI,98,meters,188.0,70.0,0.0,2.0,0.0,4.0,112.0,0.0,0
7,Marine LitterWatch,20150526,2015,05,26,50.4063,1.5728600000000001,50.4063,1.57386,FR,70,meters,1030.0,900.0,5.0,5.0,0.0,20.0,100.0,0.0,0
8,Marine LitterWatch,20151211,2015,12,11,38.67984919,-9.335719447999999,38.67965465,-9.335812775,PT,23,meters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Marine LitterWatch,20171115,2017,11,15,47.35395734,8.550474341000001,47.3544311,8.55053981,CH,53,meters,174.0,148.0,0.0,3.0,7.0,9.0,5.0,2.0,0
10,Marine LitterWatch,20170508,2017,05,08,47.36093814,8.653722816,47.36140592,8.653419634,CH,57,meters,115.0,101.0,0.0,0.0,0.0,11.0,3.0,0.0,0
11,Marine LitterWatch,20160505,2016,05,05,42.6120597,14.06689592,42.61066326,14.06797795,IT,179,meters,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12,Marine LitterWatch,20180124,2018,01,24,46.934588500000004,7.458170282999999,46.93457381,7.458467186,CH,22,meters,38.0,20.0,0.0,1.0,3.0,11.0,3.0,0.0,0
13,Marine LitterWatch,20150318,2015,03,18,45.53593545,13.60225756,45.53680532,13.60188741,SI,101,meters,336.0,216.0,2.0,0.0,10.0,7.0,101.0,0.0,0
14,Marine LitterWatch,20150503,2015,05,03,41.3916902,-8.775482082,41.39169915,-8.775477292,PT,1,meters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,Marine LitterWatch,20170614,2017,06,14,46.9235719,7.488301149,46.92352772,7.488904817000001,CH,46,meters,9.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,0
16,Marine LitterWatch,20150801,2015,08,01,47.6004,-2.73405,47.6004,-2.73305,FR,74,meters,757.0,441.0,3.0,0.0,0.0,10.0,303.0,0.0,0
17,Marine LitterWatch,20131021,2013,10,21,55.47257394,12.19599446,55.47632166,12.1977297,DK,431,meters,263.0,226.0,5.0,4.0,9.0,15.0,4.0,0.0,0
18,Marine LitterWatch,20150317,2015,03,17,43.3291,5.16029,43.3291,5.16129,FR,81,meters,261.0,215.0,10.0,1.0,0.0,5.0,30.0,0.0,0
19,Marine LitterWatch,20170619,2017,06,19,47.34743605,8.689880503,47.34720766,8.689901363999999,CH,25,meters,86.0,38.0,0.0,34.0,12.0,2.0,0.0,0.0,0
20,Marine LitterWatch,20180122,2018,01,22,47.33958832,8.516696451,47.34000227,8.516876114,CH,47,meters,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21,Marine LitterWatch,20170923,2017,09,23,47.67263329,9.081246182000001,47.67243646,9.081077475,CH,25,meters,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22,Marine LitterWatch,20170415,2017,04,15,47.55112758,7.6221988220000005,47.55139102,7.621976494,DE,34,meters,128.0,31.0,3.0,1.0,13.0,5.0,75.0,0.0,0
23,Marine LitterWatch,20171130,2017,11,30,47.44678658,9.063815632,47.44744754,9.064160585,CH,77,meters,17.0,8.0,1.0,0.0,4.0,1.0,3.0,0.0,0
24,Marine LitterWatch,20170525,2017,05,25,47.27269458,8.553682053,47.27282803,8.553417376,CH,24,meters,15.0,10.0,0.0,1.0,2.0,0.0,2.0,0.0,0
25,Marine LitterWatch,20170412,2017,04,12,44.31021,28.63048,44.30936,28.63005,RO,100,meters,2690.0,2001.0,87.0,16.0,67.0,117.0,401.0,1.0,0
