Index,CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,NatRef,lon_x1,lat_y1,lon_x2,lat_y2,Plastic,Rubber,Cloth,Processed Lumber,Metal,Glass,Other
0,Legambiente Onlus,"Spiaggia sul Lungomare Falcomat?, Reggio Calabria (RC)",IT,Mediterranean Sea,100,,,20160514,Cleanup,,15.64248,38.10975,15.64348,38.10975,2695,500,12,418,312,23,0
1,Legambiente Onlus,"Spiaggia di Voltri, Genova (GE)",IT,Mediterranean Sea,100,,,20140516,Cleanup,,8.7507,44.42718,8.7517,44.42718,436,24,0,37,109,62,0
2,Surfrider Foundation Europe,"117 Via Rio Marina, 00054 Fregene, Italie",IT,Mediterranean Sea,83,,,20150515,Cleanup,,12.204,41.8304,12.205,41.8304,274,0,0,0,0,14,0
3,Surfrider Foundation Europe,Burumendi,ES,North-east Atlantic Ocean,21,Urban,Other (mixed),20160810,Cleanup,,-2.382333663,43.31267529,-2.382132439,43.31255091,654,0,0,0,0,0,0
4,Swiss Litter Report,sihl_leimbach_kruegerm,CH,,99,Urban,Pebbels,20170524,Cleanup,,8.519119455,47.32543607,8.519485579,47.32629067,29,5,0,9,24,6,0
5,Independent,"Porto Grande, Siracusa, Sicily",IT,Mediterranean Sea,1060,Rural,Other (mixed),20180704,Cleanup,,15.28651457,37.06224396,15.29248112,37.07045628,0,0,0,0,4,0,0
6,DeFishGear - Slovenia,Bele skale 2 MS Monitoring ,SI,Mediterranean Sea,98,Rural,Pebbels,20141203,Cleanup,,13.62157753,45.53652475,13.62061998,45.53709824,70,5,0,0,16,112,0
7,Surfrider Foundation Europe,"Plage Le Gressier, 33680 Le porge, France",FR,North-east Atlantic Ocean,70,,,20150526,Cleanup,,1.57286,50.4063,1.57386,50.4063,900,5,5,0,80,100,0
8,Independent,Carcavelos Beach,PT,North-east Atlantic Ocean,23,Near river mouth,Sandy,20151211,Cleanup,,-9.335719448,38.67984919,-9.335812775,38.67965465,0,0,0,0,0,0,0
9,Swiss Litter Report,zuerichsee_zurich_kullg,CH,,53,,,20171115,Cleanup,,8.550474341,47.35395734,8.55053981,47.3544311,148,6,0,7,36,5,2
10,Swiss Litter Report,greifensee_fällanden_meistery,CH,,57,,,20170508,Cleanup,,8.653722816,47.36093814,8.653419634,47.36140592,101,0,0,0,44,3,0
11,Independent,pineto ,IT,Mediterranean Sea,179,,,20160505,Cleanup,,14.06689592,42.6120597,14.06797795,42.61066326,8,0,0,0,0,0,0
12,Swiss Litter Report,aare_köniz_hoppej,CH,,22,,,20180124,Cleanup,,7.458170283,46.9345885,7.458467186,46.93457381,20,1,0,3,44,3,0
13,DeFishGear - Slovenia,Strunjan MS Monitoring ,SI,Mediterranean Sea,101,Urban,Pebbels,20150318,Monitoring,,13.60225756,45.53593545,13.60188741,45.53680532,216,0,2,10,28,101,0
14,Independent,praia da Lagoa,PT,North-east Atlantic Ocean,1,Urban,Sandy,20150503,Cleanup,,-8.775482082,41.3916902,-8.775477292,41.39169915,0,0,0,0,0,0,0
15,Swiss Litter Report,aare_kehrsatz_stolten,CH,,46,,,20170614,Cleanup,,7.488301149,46.9235719,7.488904817,46.92352772,3,0,2,4,0,0,0
16,Surfrider Foundation Europe,"66 Route de la Pointe du Bill, 56860 Séné, France",FR,North-east Atlantic Ocean,74,,,20150801,Cleanup,,-2.73405,47.6004,-2.73305,47.6004,441,0,3,0,40,303,0
17,Hold Danmark Rent,Køge Strand,DK,Baltic Sea,431,,,20131021,Cleanup,,12.19599446,55.47257394,12.1977297,55.47632166,226,4,5,9,60,4,0
18,Surfrider Foundation Europe,"2 All?e de Barqueroute, 13620 Carry-le-Rouet, France",FR,Mediterranean Sea,81,,,20150317,Cleanup,,5.16029,43.3291,5.16129,43.3291,215,4,10,0,20,30,0
19,Swiss Litter Report,greifensee_uster_fischerb_ 2,CH,,25,Urban,Pebbels,20170619,Cleanup,,8.689880503,47.34743605,8.689901364,47.34720766,38,40,0,12,8,0,0
20,Swiss Litter Report,Sihl_zuerich_eichenbergerD,CH,,47,,,20180122,Cleanup,,8.516696451,47.33958832,8.516876114,47.34000227,1,0,0,0,0,0,0
21,Swiss Litter Report,unterdsee_ermatingen_brunkem,CH,,25,Urban,Pebbels,20170923,Cleanup,,9.081246182,47.67263329,9.081077475,47.67243646,1,0,0,0,0,0,0
22,Swiss Litter Report,Birs_Basel_GrunerN,DE,,34,Urban,Pebbels,20170415,Cleanup,,7.622198822,47.55112758,7.621976494,47.55139102,31,1,3,13,20,75,0
23,Swiss Litter Report,thur_schwarzenbach_meiliw,CH,,77,Rural,Other (mixed),20171130,Cleanup,,9.063815632,47.44678658,9.064160585,47.44744754,8,0,1,4,4,3,0
24,Swiss Litter Report,Sihl_Horgen_BucherF,CH,,24,,,20170525,Cleanup,,8.553682053,47.27269458,8.553417376,47.27282803,10,4,0,2,0,2,0
25,Mare Nostrum,N?vodari,RO,Black Sea,100,Urban,Sandy,20170412,Cleanup,,28.63048,44.31021,28.63005,44.30936,2001,61,87,67,468,401,1
26,Surfrider Foundation Europe,"6178 Avenue de la Plage, 62231 Sangatte, France",FR,North-east Atlantic Ocean,69,,,20160319,Cleanup,,1.82574,50.9613,1.82674,50.9613,1675,0,20,0,160,41,0
27,Surfrider Foundation Europe,"Unnamed Road Ploudalmézeau, 29830 Ploudalmézeau, France",FR,North-east Atlantic Ocean,73,,,20150430,Cleanup,,-4.66775,48.5742,-4.66675,48.5742,125,4,12,0,136,40,0
28,Independent,Mollösund badstrand,SE,North-east Atlantic Ocean,653,Urban,Rocky,20140510,Cleanup,,11.46957726,58.07645965,11.47487629,58.08162472,3260,0,40,0,0,0,0
29,Swiss Litter Report,zuerichsee_zurich_kullg,CH,,53,,,20170415,Cleanup,,8.550474341,47.35395734,8.55053981,47.3544311,180,2,2,35,48,24,2
30,Swiss Litter Report,greifensee_greifensee_simmenc,CH,,53,Near river mouth,Other (mixed),20180131,Cleanup,,8.675699123,47.36357229,8.676283172,47.36384326,260,2,4,19,108,41,0
31,Mare Nostrum,Neversea,RO,Black Sea,302,Urban,Sandy,20180809,Cleanup,,28.656672,44.178405,28.65583,44.18109,671,21,36,146,56,0,6
32,Independent,Formby point,UK,North-east Atlantic Ocean,722,Rural,Sandy,20190325,Cleanup,,-3.103213065,53.55175306,-3.102223183,53.55821201,1917,28,36,8,76,64,0
33,Legambiente Onlus,Spiaggia di Ponente Scicli (RG),IT,Unknown,100,,,20180427,Monitoring,,0.000131452,0.000330256,0.000131461,0.000330256,75,0,2,37,64,26,0
34,Independent,kellen,FR,North-east Atlantic Ocean,102,Urban,Other (mixed),20160511,Cleanup,,-3.578584478,48.78236264,-3.579024144,48.78149599,58,20,8,0,8,72,0
35,Swiss Litter Report,vierwaldstättersee_weggis_schöberls_1,CH,,23,,,20170819,Cleanup,,8.418568937,47.04453213,8.418664934,47.04472764,4,0,1,0,0,3,0
36,Swiss Litter Report,untersee_steckborn_siedlerm,DE,,1335049,Rural,Other (mixed),20170525,Cleanup,,27.07421579,48.49575412,8.971306721,47.66187645,17,0,1,0,0,3,0
37,ocean-R-evolution.com,cleanuptravels.com,DE,,3086,Near river mouth,Pebbels,20170324,Cleanup,,8.731163615,47.69224279,8.689735863,47.69396533,38,1,0,2,20,8,0
38,NIMRD Grigore Antipa,Ammos,RO,Black Sea,412,Urban,Sandy,20180524,Cleanup,,28.62191666,44.26533211,28.62185253,44.26903858,143,1,3,8,8,6,0
39,Plastic Change,Boserup,DK,North-east Atlantic Ocean,100,Rural,Pebbels,20180622,Cleanup,,12.04382643,55.67119801,12.04366129,55.67030767,1,0,0,0,0,0,0
40,Swiss Litter Report,Rhein_Basel_BlarerP_2,DE,,29,,,20171124,Cleanup,,7.587948481,47.59115102,7.58783016,47.59090377,118,0,0,20,200,10,0
41,Black Sea NGO Network,Kamchia,BG,Black Sea,156,Near river mouth,Sandy,20180414,Cleanup,,27.8888,43.02536667,27.88898333,43.02396667,669,0,47,0,40,15,0
