Survey Type,Organization,Date,Survey Year,Country,State,County,Survey ID,MDMAP ID #,Shoreline Name,Latitude Start,Longitude Start,Latitude End,Longitude End,Slope,Width,Length,Start Time,End Time,Time of Low Tide,Database Season,Season,Date of Previous Survey,Days since last survey,Storm Activity,Current Weather,Number of Persons Assisting,Large Items?,Debris Behind Back Barrier?,Datasheet Version,Notes,Photos?,Plastic,Plastic - Flux,Hard Plastic Fragments,Hard Plastic Fragments - Flux,Foamed Plastic Fragments,Foamed Plastic Fragments - Flux,Filmed Plastic Fragments,Filmed Plastic Fragments - Flux,Food Wrappers,Food Wrappers - Flux,Plastic Beverage Bottles,Plastic Beverage Bottles - Flux,Other Jugs/Containers,Other Jugs/Containers - Flux,Bottle/Container Caps,Bottle/Container Caps - Flux,Cigar Tips,Cigar Tips - Flux,Cigarettes,Cigarettes - Flux,Disposable Cigarette Lighters,Disposable Cigarette Lighters - Flux,6-Pack Rings,6-Pack Rings - Flux,Bags,Bags - Flux,Plastic Rope/Net,Plastic Rope/Net - Flux,Buoys & Floats,Buoys & Floats - Flux,Fishing Lures & Line,Fishing Lures & Line - Flux,Cups,Cups - Flux,Plastic Utensils,Plastic Utensils - Flux,Straws,Straws - Flux,Balloons Mylar,Balloons Mylar - Flux,Personal Care Products,Personal Care Products - Flux,Plastic Other,Plastic Other - Flux,Metal,Metal - Flux,Aluminum/Tin Cans,Aluminum/Tin Cans - Flux,Aerosol Cans,Aerosol Cans - Flux,Metal Fragments,Metal Fragments - Flux,Metal Other,Metal Other - Flux,Glass,Glass - Flux,Glass Beverage Bottles,Glass Beverage Bottles - Flux,Jars,Jars - Flux,Glass Fragments,Glass Fragments - Flux,Glass Other,Glass Other - Flux,Rubber,Rubber - Flux,Flip Flops,Flip Flops - Flux,Rubber Gloves,Rubber Gloves - Flux,Tires,Tires - Flux,Balloons Latex,Balloons Latex - Flux,Rubber Fragments,Rubber Fragments - Flux,Rubber Other,Rubber Other - Flux,Processed Lumber,Processed Lumber - Flux,Cardboard Cartons,Cardboard Cartons - Flux,Paper and Cardboard,Paper and Cardboard - Flux,Paper Bags,Paper Bags - Flux,Lumber/Building Material,Lumber/Building Material - Flux,Processed Lumber Other,Processed Lumber Other - Flux,Cloth/Fabric,Cloth/Fabric - Flux,Clothing & Shoes,Clothing & Shoes - Flux,Gloves (non-rubber),Gloves (non-rubber) - Flux,Towels/Rags,Towels/Rags - Flux,Rope/Net Pieces (non-nylon),Rope/Net Pieces (non-nylon) - Flux,Fabric Pieces,Fabric Pieces - Flux,Cloth/Fabric Other,Cloth/Fabric Other - Flux,Unclassified,Unclassified - Flux,Total Debris,Total Debris - Flux,Debris Description,UniqueId,TotalArea
Accumulation,NOAA MDP,06-29-2012,Year 1,United States,HI,Honolulu,14,9,"Green Island, Kure Atoll",28.393611,-178.296056,28.394194,-178.29525,,30.3,30.3,02:30 PM,03:00 PM,,Summer,summer,01-01-2000,4563,None,"100% cloud cover, winds 20mph",2,no,,1.0,This is the first survey date. Date entered for previous survey as 01-01-2000 since a date was required.,No,41,9.7869671574948E-6,20,4.7741303207292E-6,5,1.1935325801823E-6,0,0,0,0,2,4.7741303207292E-7,3,7.1611954810937E-7,5,1.1935325801823E-6,0,0,0,0,0,0,0,0,0,0,2,4.7741303207292E-7,0,0,4,9.5482606414583E-7,0,0,0,0,0,0,0,0,0,0,0,0,1,2.3870651603646E-7,0,0,0,0,1,2.3870651603646E-7,0,0,7,1.6709456122552E-6,7,1.6709456122552E-6,0,0,0,0,0,0,1,2.3870651603646E-7,1,2.3870651603646E-7,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.1935325801823E-5,None.,14_06-29-2012,918.09
Accumulation,NOAA MDP,07-23-2012,Year 1,United States,HI,Honolulu,15,9,"Green Island, Kure Atoll",28.393611,-178.296056,28.394194,-178.29525,,30.3,30.3,08:00 PM,08:30 PM,,Summer,summer,06-29-2012,24,Yes - 7/22/12 rained a lot,30% cloud cover; winds @ 15mph,2,no,,1.0,None.,No,33,0.0014976745199272,15,0.00068076114542147,2,9.0768152722863E-5,0,0,0,0,1,4.5384076361432E-5,1,4.5384076361432E-5,5,0.00022692038180716,0,0,0,0,0,0,0,0,0,0,1,4.5384076361432E-5,7,0.00031768853453002,1,4.5384076361432E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.00054460891633718,10,0.00045384076361432,0,0,2,9.0768152722863E-5,0,0,2,9.0768152722863E-5,1,4.5384076361432E-5,0,0,0,0,,,1,4.5384076361432E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5384076361432E-5,48,0.0021784356653487,Other = fiberglass pole,15_07-23-2012,918.09
Accumulation,BC Ministry of Environment,10-04-2012,Year 1,Canada,BC,Vancouver Island - West Coast,42,18,"Clarke Island, Broken Group Islands",48.8904,-125.381,48.8909,-125.3792,,17.0,100.0,11:30 AM,02:00 PM,,Fall,Summer,08-29-2011,402,Wind 10-20 knots in pm,"Clear, wind light",5,yes,,1.0,This location is about 150M Southwest of the Parks Canada campsite and may be influenced by recreation activities.,Yes,36,5.2677787532924E-5,3,4.3898156277436E-6,0,0,2,2.9265437518291E-6,1,1.4632718759145E-6,2,2.9265437518291E-6,1,1.4632718759145E-6,2,2.9265437518291E-6,1,1.4632718759145E-6,1,1.4632718759145E-6,0,0,0,0,0,0,6,8.7796312554873E-6,0,0,0,0,15,2.1949078138718E-5,0,0,0,0,0,0,0,0,2,2.9265437518291E-6,4,5.8530875036582E-6,2,2.9265437518291E-6,0,0,0,0,2,2.9265437518291E-6,3,4.3898156277436E-6,2,2.9265437518291E-6,0,0,1,1.4632718759145E-6,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2,2.9265437518291E-6,0,0,1,1.4632718759145E-6,0,0,1,1.4632718759145E-6,0,0,2,2.9265437518291E-6,1,1.4632718759145E-6,0,0,0,0,0,0,0,0,1,1.4632718759145E-6,1,1.4632718759145E-6,48,7.0237050043898E-5,,42_10-04-2012,1700.0
Accumulation,Humboldt State Marine Debirs Program,10-28-2012,Year 1,United States,CA,Humboldt,55,23,Arcata,40.930544,-124.13526100000001,40.933467,-124.134425,,53.0,340.0,12:30 PM,02:00 PM,,Fall,Fall,10-28-2012,0,(10/21-10/24) rain,"hazy, light winds",18,no,,1.0,,No,37,N/a,19,N/a,0,N/a,0,N/a,2,N/a,0,N/a,0,N/a,1,N/a,0,N/a,6,N/a,0,N/a,0,N/a,2,N/a,1,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,1,N/a,5,N/a,136,N/a,0,N/a,0,N/a,134,N/a,2,N/a,97,N/a,1,N/a,0,N/a,96,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,,,0,N/a,0,N/a,15,N/a,0,N/a,0,N/a,0,N/a,15,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,285,N/a,All metal fragments found where in non-designated fire pits and the majority was in the form of nails or screws from wood pallets.,55_10-28-2012,18020.0
Accumulation,Sustainable Coastlines Hawaii,06-29-2012,Year 1,United States,HI,Kaneohe,56,22,North Beach,21.453390665590998,-157.74375379086,21.453395658338,-157.74431034923,,20.0,57.5,01:00 PM,02:00 PM,,Summer,summer,06-29-2012,0,none,"light rain, 70% could coverage, 10-15 mph wind",2,no,,1.0,,No,202,N/a,172,N/a,3,N/a,0,N/a,0,N/a,0,N/a,0,N/a,4,N/a,1,N/a,0,N/a,0,N/a,0,N/a,0,N/a,7,N/a,2,N/a,0,N/a,12,N/a,0,N/a,0,N/a,0,N/a,0,N/a,1,N/a,1,N/a,1,N/a,0,N/a,0,N/a,0,N/a,1,N/a,1,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,,,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,204,N/a,mostly small plastic fragments (microplastics)with majority of debris found at high tide mark.,56_06-29-2012,1150.0
Accumulation,Sustainable Coastlines Hawaii,07-27-2012,Year 1,United States,HI,Kaneohe,57,22,North Beach,21.453390665590998,-157.74375379086,21.453395658338,-157.74431034923,,20.0,57.5,03:00 PM,04:00 PM,,Summer,summer,06-29-2012,28,none,"sunny, 20% cloud coverage, 10-15 mph wind",2,no,,1.0,"beach is very steep and some has sand is beginning to wash away, but has not reached survey site.",No,159,0.0049378881987578,148,0.0045962732919255,2,6.2111801242236E-5,0,0,1,3.1055900621118E-5,0,0,0,0,2,6.2111801242236E-5,1,3.1055900621118E-5,0,0,1,3.1055900621118E-5,0,0,0,0,2,6.2111801242236E-5,2,6.2111801242236E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0.0049378881987578,,57_07-27-2012,1150.0
Accumulation,Sustainable Coastlines Hawaii,08-31-2012,Year 1,United States,HI,Kaneohe,58,22,North Beach,21.453390665590998,-157.74375379086,21.453395658338,-157.74431034923,,20.0,57.5,02:00 PM,03:00 PM,,Summer,Summer,07-27-2012,35,none,"sunny with scattered showers, 40% cloud cover, ligth wind 5-10 mph",1,no,,1.0,,No,177,0.0043975155279503,162,0.0040248447204969,5,0.00012422360248447,0,0,2,4.9689440993789E-5,0,0,1,2.4844720496894E-5,2,4.9689440993789E-5,0,0,1,2.4844720496894E-5,0,0,0,0,0,0,3,7.4534161490683E-5,0,0,0,0,0,0,0,0,1,2.4844720496894E-5,0,0,0,0,0,0,1,2.4844720496894E-5,0,0,0,0,1,2.4844720496894E-5,0,0,2,4.9689440993789E-5,0,0,0,0,2,4.9689440993789E-5,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0.004472049689441,,58_08-31-2012,1150.0
Accumulation,Sustainable Coastlines Hawaii,10-29-2012,Year 1,United States,HI,Kaneohe,60,22,North Beach,21.453390665590998,-157.74375379086,21.453395658338,-157.74431034923,,20.0,57.5,11:30 AM,01:00 PM,,Fall,Fall,09-13-2012,46,none,"85% could coverage, light winds 5 mph, waves 3-5 ft faces",2,no,,1.0,a significant amount of sand has eroded and some of the survey site is now rocky and no longer sandy.  The survey sight is now steep.  the tide is mid going low.,No,49,0.00092627599243856,41,0.00077504725897921,0,0,0,0,1,1.890359168242E-5,0,0,0,0,1,1.890359168242E-5,0,0,1,1.890359168242E-5,0,0,0,0,0,0,5,9.4517958412098E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.7807183364839E-5,0,0,0,0,0,0,2,3.7807183364839E-5,0,0,0,0,0,0,51,0.0009640831758034,,60_10-29-2012,1150.0
Accumulation,Sustainable Coastlines Hawaii,09-13-2012,Year 1,United States,HI,Kaneohe,61,22,North Beach,21.453390665590998,-157.74375379086,21.453395658338,-157.74431034923,,20.0,57.5,03:00 PM,04:00 PM,,Fall,Fall,08-31-2012,13,Wind and rain,"60% cloud cover, 10-15 mph",2,no,,1.0,,No,135,0.0090301003344482,121,0.0080936454849498,3,0.00020066889632107,1,6.6889632107023E-5,0,0,1,6.6889632107023E-5,0,0,3,0.00020066889632107,0,0,0,0,1,6.6889632107023E-5,0,0,0,0,4,0.00026755852842809,0,0,0,0,0,0,0,0,1,6.6889632107023E-5,0,0,0,0,0,0,1,6.6889632107023E-5,0,0,0,0,1,6.6889632107023E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,6.6889632107023E-5,0,0,1,6.6889632107023E-5,0,0,0,0,0,0,3,0.00020066889632107,0,0,0,0,0,0,3,0.00020066889632107,0,0,0,0,0,0,140,0.0093645484949833,,61_09-13-2012,1150.0
Accumulation,Humboldt State Marine Debirs Program,11-11-2012,Year 1,United States,CA,Humboldt,62,26,North Jetty,40.764628,-124.232386,40.769469,-124.22746699999999,,80.0,698.71,09:00 AM,10:30 AM,,Fall,Fall,11-11-2012,0,None,Cloudy,4,no,,1.0,,No,92,N/a,42,N/a,0,N/a,0,N/a,4,N/a,0,N/a,0,N/a,1,N/a,0,N/a,7,N/a,1,N/a,0,N/a,4,N/a,28,N/a,0,N/a,2,N/a,0,N/a,0,N/a,0,N/a,2,N/a,1,N/a,0,N/a,5,N/a,4,N/a,0,N/a,1,N/a,0,N/a,1,N/a,1,N/a,0,N/a,0,N/a,0,N/a,3,N/a,1,N/a,0,N/a,0,N/a,,,2,N/a,0,N/a,4,N/a,1,N/a,1,N/a,2,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,0,N/a,105,N/a,,62_11-11-2012,55896.8
