UniqueId,Organization,Date,Survey Year,Survey ID,Latitude Start,Longitude Start,Latitude End,Longitude End,Width,Length,TotalArea,Total Debris,Plastic Count,Cloth,Fishing Gear,Glass,Metal,Other,Plastic,Processed Lumber,Rubber,Cloth Per Sq Meter,Fishing Gear  Per Sq Meter,Glass Per Sq Meter,Metal Per Sq Meter,Other Per Sq Meter,Plastic Per Sq Meter,Processed Lumber Per Sq Meter,Rubber Per Sq Meter,Total Debris Per Sq Meter
14_06-29-2012,NOAA MDP,06-29-2012,Year 1,14,28.393611,-178.296056,28.394194,-178.29525,30.3,30.3,918.09,50,41,0,6,14,2,0,36,0,1,0.0,0.006535306996046139,0.015249049657440991,0.002178435665348713,0.0,0.039211841976276834,0.0,0.0010892178326743565,0.054460891633717826
15_07-23-2012,NOAA MDP,07-23-2012,Year 1,15,28.393611,-178.296056,28.394194,-178.29525,30.3,30.3,918.09,48,33,0,9,24,0,0,25,0,3,0.0,0.009802960494069209,0.026141227984184556,0.0,0.0,0.027230445816858913,0.0,0.0032676534980230695,0.05228245596836911
42_10-04-2012,BC Ministry of Environment,10-04-2012,Year 1,42,48.8904,-125.381,48.8909,-125.3792,17.0,100.0,1700.0,48,36,4,6,6,8,1,28,5,0,0.002352941176470588,0.0035294117647058825,0.0035294117647058825,0.004705882352941176,0.000588235294117647,0.01647058823529412,0.0029411764705882353,0.0,0.02823529411764706
55_10-28-2012,Humboldt State Marine Debirs Program,10-28-2012,Year 1,55,40.930544,-124.135261,40.933467,-124.134425,53.0,340.0,18020.0,285,37,0,1,194,272,7,29,30,0,0.0,5.549389567147614e-05,0.01076581576026637,0.01509433962264151,0.00038845726970033296,0.001609322974472808,0.001664816870144284,0.0,0.015815760266370698
56_06-29-2012,Sustainable Coastlines Hawaii,06-29-2012,Year 1,56,21.453390665590998,-157.74375379086,21.453395658338,-157.74431034923,20.0,57.5,1150.0,204,202,0,9,2,2,0,192,1,0,0.0,0.00782608695652174,0.0017391304347826088,0.0017391304347826088,0.0,0.16695652173913045,0.0008695652173913044,0.0,0.17739130434782607
57_07-27-2012,Sustainable Coastlines Hawaii,07-27-2012,Year 1,57,21.453390665590998,-157.74375379086,21.453395658338,-157.74431034923,20.0,57.5,1150.0,159,159,0,4,0,0,0,154,1,0,0.0,0.0034782608695652175,0.0,0.0,0.0,0.13391304347826086,0.0008695652173913044,0.0,0.13826086956521738
58_08-31-2012,Sustainable Coastlines Hawaii,08-31-2012,Year 1,58,21.453390665590998,-157.74375379086,21.453395658338,-157.74431034923,20.0,57.5,1150.0,180,177,0,3,4,2,1,173,0,0,0.0,0.0026086956521739132,0.0034782608695652175,0.0017391304347826088,0.0008695652173913044,0.15043478260869564,0.0,0.0,0.1565217391304348
60_10-29-2012,Sustainable Coastlines Hawaii,10-29-2012,Year 1,60,21.453390665590998,-157.74375379086,21.453395658338,-157.74431034923,20.0,57.5,1150.0,51,49,2,7,0,0,1,43,0,0,0.0017391304347826088,0.00608695652173913,0.0,0.0,0.0008695652173913044,0.03739130434782609,0.0,0.0,0.04434782608695652
61_09-13-2012,Sustainable Coastlines Hawaii,09-13-2012,Year 1,61,21.453390665590998,-157.74375379086,21.453395658338,-157.74431034923,20.0,57.5,1150.0,140,135,3,7,0,2,0,131,2,0,0.0026086956521739132,0.00608695652173913,0.0,0.0017391304347826088,0.0,0.11391304347826087,0.0017391304347826088,0.0,0.12173913043478261
62_11-11-2012,Humboldt State Marine Debirs Program,11-11-2012,Year 1,62,40.764628,-124.232386,40.769469,-124.227467,80.0,698.71,55896.8,105,92,0,30,2,10,8,55,8,5,0.0,0.0005367033533225516,3.578022355483677e-05,0.00017890111777418385,0.0001431208942193471,0.0009839561477580111,0.0001431208942193471,8.945055888709193e-05,0.0018784617366289303
63_05-08-2012,Redfish Rocks,05-08-2012,Year 1,63,42.7149,-124.4621,42.7139,-124.462,36.0,102.0,3672.0,55,43,0,1,0,4,0,47,8,7,0.0,0.0002723311546840959,0.0,0.0010893246187363835,0.0,0.012799564270152506,0.002178649237472767,0.001906318082788671,0.014978213507625272
64_06-08-2012,Redfish Rocks,06-08-2012,Year 1,64,42.7149,-124.4621,42.7139,-124.462,37.0,102.0,3774.0,279,270,0,4,0,6,2,265,4,7,0.0,0.0010598834128245894,0.0,0.001589825119236884,0.0005299417064122947,0.07021727609962904,0.0010598834128245894,0.0018547959724430313,0.0739268680445151
65_07-09-2012,Redfish Rocks,07-09-2012,Year 1,65,42.7149,-124.4621,42.7139,-124.462,36.0,102.0,3672.0,38,35,0,0,0,0,1,34,2,4,0.0,0.0,0.0,0.0,0.0002723311546840959,0.009259259259259259,0.0005446623093681918,0.0010893246187363835,0.010348583877995643
66_08-13-2012,Redfish Rocks,08-13-2012,Year 1,66,42.7149,-124.4621,42.7139,-124.462,37.0,102.0,3774.0,1,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0005299417064122947,0.0,0.0,0.0,0.0,0.00026497085320614734
67_09-10-2012,Redfish Rocks,09-10-2012,Year 1,67,42.7149,-124.4621,42.7139,-124.462,36.0,102.0,3672.0,16,9,0,1,0,0,0,8,14,0,0.0,0.0002723311546840959,0.0,0.0,0.0,0.002178649237472767,0.003812636165577342,0.0,0.004357298474945534
68_10-10-2012,Redfish Rocks,10-10-2012,Year 1,68,42.7149,-124.4621,42.7139,-124.462,36.0,102.0,3672.0,11,8,0,0,0,0,0,8,6,0,0.0,0.0,0.0,0.0,0.0,0.002178649237472767,0.0016339869281045752,0.0,0.0029956427015250544
69_11-12-2012,Redfish Rocks,11-12-2012,Year 1,69,42.7149,-124.4621,42.7139,-124.462,37.0,102.0,3774.0,48,44,0,2,0,2,1,43,0,4,0.0,0.0005299417064122947,0.0,0.0005299417064122947,0.00026497085320614734,0.011393746687864335,0.0,0.0010598834128245894,0.012718600953895072
99_11-02-2012,Sonoma Coast Surfrider,11-02-2012,Year 1,99,38.3782,-123.0813,38.37913,-123.0812,10.0,100.0,1000.0,91,78,0,1,2,4,15,62,16,0,0.0,0.001,0.002,0.004,0.015,0.062,0.016,0.0,0.091
100_07-05-2012,Sonoma Coast Surfrider,07-05-2012,Year 1,100,38.335233,-123.068717,38.33351833333333,-123.06826666666667,41.0,100.0,4100.0,140,120,0,5,0,2,7,106,16,24,0.0,0.0012195121951219512,0.0,0.0004878048780487805,0.0017073170731707317,0.025853658536585365,0.003902439024390244,0.005853658536585366,0.03414634146341464
101_08-24-2012,Sonoma Coast Surfrider,08-24-2012,Year 1,101,38.3782,-123.0813,38.37913,-123.0812,20.0,100.0,2000.0,103,82,2,8,8,4,25,49,8,20,0.001,0.004,0.004,0.002,0.0125,0.0245,0.004,0.01,0.0515
124_07-24-2012,Sonoma Coast Surfrider,07-24-2012,Year 1,124,38.310367,-123.025117,38.310867,-123.026083,30.0,100.0,3000.0,49,46,0,2,0,2,9,34,3,0,0.0,0.0006666666666666666,0.0,0.0006666666666666666,0.003,0.011333333333333334,0.001,0.0,0.01633333333333333
125_08-24-2012,Sonoma Coast Surfrider,08-24-2012,Year 1,125,38.310367,-123.025117,38.310867,-123.026083,30.0,100.0,3000.0,57,37,26,0,2,6,6,33,2,2,0.008666666666666666,0.0,0.0006666666666666666,0.002,0.002,0.011,0.0006666666666666666,0.0006666666666666666,0.019
126_09-24-2012,Sonoma Coast Surfrider,09-24-2012,Year 1,126,38.310367,-123.025117,38.310867,-123.026083,110.0,100.0,11000.0,61,44,4,0,0,2,2,42,26,0,0.0003636363636363636,0.0,0.0,0.0001818181818181818,0.0001818181818181818,0.0038181818181818182,0.0023636363636363638,0.0,0.005545454545454545
127_10-25-2012,Sonoma Coast Surfrider,10-25-2012,Year 1,127,38.310367,-123.025117,38.310867,-123.026083,58.0,100.0,5800.0,190,158,8,3,6,0,9,145,43,6,0.001379310344827586,0.0005172413793103448,0.0010344827586206897,0.0,0.0015517241379310344,0.025,0.007413793103448276,0.0010344827586206897,0.032758620689655175
136_12-11-2012,Redfish Rocks,12-11-2012,Year 1,136,42.7149,-124.4621,42.7139,-124.462,48.0,102.0,4896.0,170,160,2,2,0,2,0,159,12,3,0.0004084967320261438,0.0004084967320261438,0.0,0.0004084967320261438,0.0,0.032475490196078434,0.0024509803921568627,0.0006127450980392157,0.034722222222222224
233_11-14-2012,Sustainable Coastlines Hawaii,11-14-2012,Year 1,233,21.453390665590998,-157.74375379086,21.453395658338,-157.74431034923,20.0,57.5,1150.0,131,115,0,9,14,0,3,103,4,14,0.0,0.00782608695652174,0.01217391304347826,0.0,0.0026086956521739132,0.08956521739130435,0.0034782608695652175,0.01217391304347826,0.11391304347826087
254_01-14-2013,Redfish Rocks,01-14-2013,Year 1,254,42.7149,-124.4621,42.7139,-124.462,48.0,102.0,4896.0,245,237,0,2,0,4,2,234,2,9,0.0,0.0004084967320261438,0.0,0.0008169934640522876,0.0004084967320261438,0.04779411764705882,0.0004084967320261438,0.001838235294117647,0.05004084967320262
255_10-04-2012,Hawaiian Islands Humpback Whale NMS,10-04-2012,Year 1,255,20.74885,-156.45831,20.75045,-156.45914,12.0,170.0,2040.0,12,9,0,1,6,0,4,4,0,0,0.0,0.0004901960784313725,0.0029411764705882353,0.0,0.00196078431372549,0.00196078431372549,0.0,0.0,0.0058823529411764705
256_11-01-2012,Hawaiian Islands Humpback Whale NMS,11-01-2012,Year 1,256,20.74885,-156.45831,20.75045,-156.45914,12.0,170.0,2040.0,10,9,2,2,0,0,4,3,0,0,0.000980392156862745,0.000980392156862745,0.0,0.0,0.00196078431372549,0.0014705882352941176,0.0,0.0,0.004901960784313725
257_11-29-2012,Hawaiian Islands Humpback Whale NMS,11-29-2012,Year 1,257,20.74885,-156.45831,20.75045,-156.45914,12.0,170.0,2040.0,16,12,0,1,6,0,5,6,0,2,0.0,0.0004901960784313725,0.0029411764705882353,0.0,0.0024509803921568627,0.0029411764705882353,0.0,0.000980392156862745,0.00784313725490196
258_12-27-2012,Hawaiian Islands Humpback Whale NMS,12-27-2012,Year 1,258,20.74885,-156.45831,20.75045,-156.45914,12.0,170.0,2040.0,17,11,6,1,4,2,5,5,0,0,0.0029411764705882353,0.0004901960784313725,0.00196078431372549,0.000980392156862745,0.0024509803921568627,0.0024509803921568627,0.0,0.0,0.008333333333333333
