"Survey Type",Organization,Date,"Survey Year",Country,State,County,"Survey ID","MDMAP ID #","Shoreline Name","Latitude Start","Longitude Start","Latitude End","Longitude End",Length,Slope,"Start Time","End Time","Time of Low Tide","Database Season",Season,"Date of Previous Survey","Storm Activity","Current Weather","Number of Persons Assisting","Large Items?","Debris Behind Back Barrier?","Datasheet Version",Notes,Photos?,Width,"Width - Deviation",Plastic,"Plastic - Concentration","Plastic - Standard Deviation","Hard Plastic Fragments","Hard Plastic Fragments - Concentration","Hard Plastic Fragments - Standard Deviation","Foamed Plastic Fragments","Foamed Plastic Fragments - Concentration","Foamed Plastic Fragments - Standard Deviation","Filmed Plastic Fragments","Filmed Plastic Fragments - Concentration","Filmed Plastic Fragments - Standard Deviation","Food Wrappers","Food Wrappers - Concentration","Food Wrappers - Standard Deviation","Plastic Beverage Bottles","Plastic Beverage Bottles - Concentration","Plastic Beverage Bottles - Standard Deviation","Other Jugs/Containers","Other Jugs/Containers - Concentration","Other Jugs/Containers - Standard Deviation","Bottle/Container Caps","Bottle/Container Caps - Concentration","Bottle/Container Caps - Standard Deviation","Cigar Tips","Cigar Tips - Concentration","Cigar Tips - Standard Deviation",Cigarettes,"Cigarettes - Concentration","Cigarettes - Standard Deviation","Disposable Cigarette Lighters","Disposable Cigarette Lighters - Concentration","Disposable Cigarette Lighters - Standard Deviation","6-Pack Rings","6-Pack Rings - Concentration","6-Pack Rings - Standard Deviation",Bags,"Bags - Concentration","Bags - Standard Deviation","Plastic Rope/Net","Plastic Rope/Net - Concentration","Plastic Rope/Net - Standard Deviation","Buoys & Floats","Buoys & Floats - Concentration","Buoys & Floats - Standard Deviation","Fishing Lures & Line","Fishing Lures & Line - Concentration","Fishing Lures & Line - Standard Deviation",Cups,"Cups - Concentration","Cups - Standard Deviation","Plastic Utensils","Plastic Utensils - Concentration","Plastic Utensils - Standard Deviation",Straws,"Straws - Concentration","Straws - Standard Deviation","Balloons Mylar","Balloons Mylar - Concentration","Balloons Mylar - Standard Deviation","Personal Care Products","Personal Care Products - Concentration","Personal Care Products - Standard Deviation","Plastic Other","Plastic Other - Concentration","Plastic Other - Standard Deviation",Metal,"Metal - Concentration","Metal - Standard Deviation","Aluminum/Tin Cans","Aluminum/Tin Cans - Concentration","Aluminum/Tin Cans - Standard Deviation","Aerosol Cans","Aerosol Cans - Concentration","Aerosol Cans - Standard Deviation","Metal Fragments","Metal Fragments - Concentration","Metal Fragments - Standard Deviation","Metal Other","Metal Other - Concentration","Metal Other - Standard Deviation",Glass,"Glass - Concentration","Glass - Standard Deviation","Glass Beverage Bottles","Glass Beverage Bottles - Concentration","Glass Beverage Bottles - Standard Deviation",Jars,"Jars - Concentration","Jars - Standard Deviation","Glass Fragments","Glass Fragments - Concentration","Glass Fragments - Standard Deviation","Glass Other","Glass Other - Concentration","Glass Other - Standard Deviation",Rubber,"Rubber - Concentration","Rubber - Standard Deviation",Flip-Flops,"Flip-Flops - Concentration","Flip-Flops - Standard Deviation","Rubber Gloves","Rubber Gloves - Concentration","Rubber Gloves - Standard Deviation",Tires,"Tires - Concentration","Tires - Standard Deviation","Balloons Latex","Balloons Latex - Concentration","Balloons Latex - Standard Deviation","Rubber Fragments","Rubber Fragments - Concentration","Rubber Fragments - Standard Deviation","Rubber Other","Rubber Other - Concentration","Rubber Other - Standard Deviation","Processed Lumber","Processed Lumber - Concentration","Processed Lumber - Standard Deviation","Cardboard Cartons","Cardboard Cartons - Concentration","Cardboard Cartons - Standard Deviation","Paper and Cardboard","Paper and Cardboard - Concentration","Paper and Cardboard - Standard Deviation","Paper Bags","Paper Bags - Concentration","Paper Bags - Standard Deviation","Lumber/Building Material","Lumber/Building Material - Concentration","Lumber/Building Material - Standard Deviation","Processed Lumber Other","Processed Lumber Other - Concentration","Processed Lumber Other - Standard Deviation",Cloth/Fabric,"Cloth/Fabric - Concentration","Cloth/Fabric - Standard Deviation","Clothing & Shoes","Clothing & Shoes - Concentration","Clothing & Shoes - Standard Deviation","Gloves (non-rubber)","Gloves (non-rubber) - Concentration","Gloves (non-rubber) - Standard Deviation",Towels/Rags,"Towels/Rags - Concentration","Towels/Rags - Standard Deviation","Rope/Net Pieces (non-nylon)","Rope/Net Pieces (non-nylon) - Concentration","Rope/Net Pieces (non-nylon) - Standard Deviation","Fabric Pieces","Fabric Pieces - Concentration","Fabric Pieces - Standard Deviation","Cloth/Fabric Other","Cloth/Fabric Other - Concentration","Cloth/Fabric Other - Standard Deviation",Unclassified,"Unclassified - Concentration","Unclassified - Standard Deviation","Total Debris","Total Debris - Concentration","Total Debris - Standard Deviation"
Standing-Stock,"Heal the Bay",06-13-2012,"Year 1","United States",CA,"Los Angeles",22,12,"Carbon Beach",34.038266,-118.654316,34.0381166,-118.653316,100,,"11:55 AM","12:10 PM",,Summer,Spring/summer,06-13-2012,None,Overcast,2,no,,1.0,,"206.JPG,207.JPG,208.JPG",17.8,0.011639640577886,122,0.36410651105937,0.13410736725873,13,0.03871995127491,0.032124481694797,1,0.0031055900621118,0.0062111801242236,73,0.21926528527652,0.066361649986833,18,0.052673297635437,0.048736473914805,0,0,0,0,0,0,4,0.011866959778538,0.0097323550877344,0,0,0,0,0,0,0,0,0,1,0.0031055900621118,0.0062111801242236,1,0.0031055900621118,0.0062111801242236,0,0,0,0,0,0,1,0.0029761904761905,0.005952380952381,4,0.011829157652313,0.013693441223369,0,0,0,5,0.014649910015079,0.014001506856463,0,0,0,0,0,0,1,0.0028089887640449,0.0056179775280899,2,0.0060817805383023,0.0070258136441502,1,0.0029761904761905,0.005952380952381,0,0,0,0,0,0,1,0.0031055900621118,0.0062111801242236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,1,0.0031055900621118,0.0062111801242236,0,0,0,0,0,0,0,0,0,1,0.0031055900621118,0.0062111801242236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0028089887640449,0.0056179775280899,126,0.37312667994764,0.14181533309576
Standing-Stock,"Heal the Bay",07-10-2012,"Year 1","United States",CA,"Los Angeles",26,12,"Carbon Beach",34.038266,-118.654316,34.0381166,-118.653316,100,,"0:00 PM","0:00 PM",,Summer,Summer,06-13-2012,None,"Clear, sunny",2,no,,1.0,"Start and end time not recorded","210.JPG,211.JPG,212.JPG,213.JPG",18.3,0,42,0.11475409836066,0.069408229082906,5,0.013661202185792,0.010463684237774,0,0,0,22,0.060109289617486,0.050871548429031,8,0.021857923497268,0.012619678015074,0,0,0,0,0,0,2,0.0054644808743169,0.0063098390075369,0,0,0,1,0.0027322404371585,0.0054644808743169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0054644808743169,0.0063098390075369,0,0,0,2,0.0054644808743169,0.0063098390075369,0,0,0,0,0,0,0,0,0,2,0.0054644808743169,0.0063098390075369,0,0,0,0,0,0,2,0.0054644808743169,0.0063098390075369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,50,0.13661202185792,0.17314731713393,0,0,0,50,0.13661202185792,0.17314731713393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027322404371585,0.0054644808743169,94,0.25956284153005,0.20762630481937
Standing-Stock,"Heal the Bay",08-20-2012,"Year 1","United States",CA,"Los Angeles",38,12,"Carbon Beach",34.038266,-118.654316,34.0381166,-118.653316,100,,"4:55 PM","5:05 PM",,Summer,Summer,07-10-2012,None,Sunny,2,no,,1.0,"No end time recorded.",,14,0,40,0.14285714285714,0.069006555934235,3,0.010714285714286,0.013677530110805,0,0,0,15,0.053571428571429,0.041032590332414,6,0.021428571428571,0.03400680204068,0,0,0,0,0,0,2,0.0071428571428571,0.014285714285714,0,0,0,1,0.0035714285714286,0.0071428571428571,0,0,0,0,0,0,0,0,0,0,0,0,3,0.010714285714286,0.013677530110805,0,0,0,3,0.010714285714286,0.013677530110805,0,0,0,6,0.021428571428571,0.02474358296527,0,0,0,0,0,0,1,0.0035714285714286,0.0071428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0.14285714285714,0.069006555934235
Standing-Stock,"Heal the Bay",10-11-2012,"Year 1","United States",CA,"Los Angeles",51,12,"Carbon Beach",34.038266,-118.654316,34.0381166,-118.653316,100,,"2:12 pm","2:21 pm",,Fall,Fall,08-20-2012,"Rained the night before","Sunny, breezy, 45% cloud cover",2,no,,1.0,"MDP staff changed lat/long to match site char",232.JPG,24.4,0.00014204545454546,25,0.051242118537201,0.025373211521685,2,0.0041004623791509,0.0047348073607155,0,0,0,6,0.012297183690626,0.010580837164933,5,0.010248003362757,0.015515773493429,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0041004623791509,0.0047348073607155,0,0,0,0,0,0,1,0.0020491803278689,0.0040983606557377,2,0.0040983606557377,0.0081967213114754,0,0,0,3,0.0061475409836066,0.012295081967213,1,0.0020512820512821,0.0041025641025641,0,0,0,1,0.0020512820512821,0.0041025641025641,0,0,0,0,0,0,2,0.0040983606557377,0.0047323792556527,1,0.0020491803278689,0.0040983606557377,0,0,0,0,0,0,1,0.0020491803278689,0.0040983606557377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0.053291298865069,0.027182925909327
Standing-Stock,"Heal the Bay",11-13-2012,"Year 1","United States",CA,"Los Angeles",73,12,"Carbon Beach",34.038266,-118.654316,34.0381166,-118.653316,100,,"2:30 pm","2:37 pm",,Fall,Fall,10-11-2012,None,"Sunny, 0% cloud cover, light breeze",2,no,,1.0,"Bad photo of transect.
MDP staff changed lat/longs to match site characterization, does not match this particular transect",284.JPG,28,0,6,0.010714285714286,0.0071428571428571,2,0.0035714285714286,0.0071428571428571,0,0,0,1,0.0017857142857143,0.0035714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0035714285714286,0.0071428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0017857142857143,0.0035714285714286,0,0,0,0,0,0,0,0,0,2,0.0035714285714286,0.0041239304942116,0,0,0,0,0,0,0,0,0,2,0.0035714285714286,0.0041239304942116,6,0.010714285714286,0.012371791482635,0,0,0,0,0,0,6,0.010714285714286,0.012371791482635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0017857142857143,0.0035714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0017857142857143,0.0035714285714286,0,0,0,15,0.026785714285714,0.01583825559006
Standing-Stock,"Heal the Bay",12-11-2012,"Year 1","United States",CA,"Los Angeles",137,12,"Carbon Beach",34.038266,-118.654316,34.0381166,-118.653316,100,,"1:13 PM","1:28 PM",,Winter,Fall,11-13-2012,None,"Sunny, 0% cloud cover",2,no,,1.0,"MDP staff changed lat/longs to match site characterization, does not match this particular transect",551.JPG,36,0.0056818181818182,18,0.025119047619048,0.013126625843623,1,0.0014285714285714,0.0028571428571429,11,0.01531746031746,0.0094338787549527,2,0.0028174603174603,0.0032539682539683,1,0.0013888888888889,0.0027777777777778,0,0,0,0,0,0,2,0.0027777777777778,0.0055555555555556,0,0,0,1,0.0013888888888889,0.0027777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0013888888888889,0.0027777777777778,0,0,0,0,0,0,1,0.0013888888888889,0.0027777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.026507936507937,0.015199466027848
Standing-Stock,"Heal the Bay",01-08-2013,"Year 1","United States",CA,"Los Angeles",246,12,"Carbon Beach",34.038266,-118.654316,34.0381166,-118.653316,100,,"2:24 PM","2:30 PM",,Winter,Winter,12-11-2012,"Rained on 01/06/13","sunny, clear, very light breeze",2,no,,1.0,"MDP staff changed lat/longs to match site characterization, does not match this particular transect",641.jpg,31,0.010879853497231,3,0.0048420698924731,0.0032325268817204,0,0,0,3,0.0048420698924731,0.0032325268817204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0048420698924731,0.0032325268817204
Standing-Stock,"Heal the Bay",02-14-2013,"Year 1","United States",CA,"Los Angeles",315,12,"Carbon Beach",34.038266,-118.654316,34.0381166,-118.653316,100,,"04:23 PM","04:25 PM",,Winter,Winter,01-08-2013,"Rained in previous weeks","chilly, low visibility, fog, light breeze, sunny",2,no,,1.0,"MDP staff changed lat/longs to match site characterization, does not match this particular transect",,17.5,0,3,0.0085714285714286,0.010942024088644,3,0.0085714285714286,0.010942024088644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,1,0.0028571428571429,0.0057142857142857,0,0,0,1,0.0028571428571429,0.0057142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.011428571428571,0.0093313894963169
Standing-Stock,"Heal the Bay",03-11-2013,"Year 1","United States",CA,"Los Angeles",575,12,"Carbon Beach",34.038266,-118.654316,34.0381166,-118.653316,100,,"4:15 PM","6:00 PM",,Spring,"Late Winter",02-14-2013,N/A,"calm, sunny",2,no,,1.0,"Surveyors recorded time for entire survey.
MDP staff changed lat/longs to match site characterization, does not match this particular transect",755.JPG,28,0,21,0.0375,0.010714285714286,4,0.0071428571428571,0.005832118435198,12,0.021428571428571,0.010101525445522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0053571428571429,0.010714285714286,0,0,0,0,0,0,1,0.0017857142857143,0.0035714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0017857142857143,0.0035714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,2,0.0035714285714286,0.0071428571428571,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0035714285714286,0.0071428571428571,1,0.0017857142857143,0.0035714285714286,0,0,0,0,0,0,0,0,0,1,0.0017857142857143,0.0035714285714286,0,0,0,0,0,0,0,0.0017857142857143,0.0035714285714286,24,0.044642857142857,0.018785397426261
Standing-Stock,"Heal the Bay",04-16-2013,"Year 1","United States",CA,"Los Angeles",1556,12,"Carbon Beach",34.038266,-118.654316,34.0381166,-118.653316,100,,"7:15 AM","9:00 AM",,Spring,Spring,03-11-2013,None,"""lovely"" - no wind",2,no,,1.0,,"880.jpg,881.jpg",6,0.066260816986878,4,0.018333333333333,0.021343747458109,0,0,0,0,0,0,0,0,0,1,0.0033333333333333,0.0066666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.011666666666667,0.015752718754175,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0033333333333333,0.0066666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029411764705882,0.0058823529411765,4,0.021274509803922,0.018610931787713
