"Survey Type",Organization,Date,"Survey Year",Country,State,County,"Survey ID","MDMAP ID #","Transect ID #","Shoreline Name","Latitude Start","Longitude Start","Latitude End","Longitude End",Slope,Width,Length,"Start Time","End Time","Time of Low Tide","Database Season",Season,"Date of Previous Survey","Storm Activity","Current Weather","Number of Persons","Large Items?","Debris Behind Back Barrier?","Datasheet Version","# of Large Items",Notes,Photos,"Item Type",Subtype,Status,"Width (m)","Length (m)",Description,Photo?
Accumulation,"BC Ministry of Environment",10-04-2012,"Year 1",Canada,BC,"Vancouver Island - West Coast",42,18,1,"Clarke Island, Broken Group Islands",48.8904,-125.3810,48.8909,-125.3792,,17,100,"11:30 AM","02:00 PM",,Fall,Summer,08-29-2011,"Wind 10-20 knots in pm","Clear, wind light",5,yes,,1.0,1,"This location is about 150M Southwest of the Parks Canada campsite and may be influenced by recreation activities.",Yes,Plastic,"Hard Plastic",Buried,1.2,1.2,"Blue barrel",No
Accumulation,"BC Ministry of Environment",10-04-2012,"Year 1",Canada,BC,"Vancouver Island - West Coast",42,18,1,"Clarke Island, Broken Group Islands",48.8904,-125.3810,48.8909,-125.3792,,17,100,"11:30 AM","02:00 PM",,Fall,Summer,08-29-2011,"Wind 10-20 knots in pm","Clear, wind light",5,yes,,1.0,1,"This location is about 150M Southwest of the Parks Canada campsite and may be influenced by recreation activities.",Yes,Plastic,"Hard Plastic",Stranded,0.15,0.6,"Plastic pipe",No
Standing-Stock,"BC Ministry of Environment",07-30-2012,"Year 1",Canada,BC,"North Coast",43,19,4,"West Campania Island - North Beach",53.0526,-129.4486,53.0533,-129.4496,,10,200,"10:50 am","10:55 am",,Summer,Summer,07-30-2012,"15-25 Knots south previous day","overcast, wind 10-15 kn",2,yes,,1.0,1,,No,Plastic,"Hard Plastic",stranded,0.5,1.3,"Broken lid from fish tote",Yes
Accumulation,"Redfish Rocks",06-08-2012,"Year 1","United States",OR,Curry,64,11,,"Rocky Point",42.7149,-124.4621,42.7139,-124.462,,37,102,"09:30 AM","10:30 AM",,Summer,Spring,05-08-2012,"Rain 2 days before this survey was taken. +20 Mph winds","Sunny; N wind 11mph",9,yes,,1.0,1,"No evidence of other clean ups.",Yes,Metal,Other,"Exposed, yet stuck on a sunken tire (see iteam 2)",.127,.61,"ABS pipe (car part)",Yes
Accumulation,"Redfish Rocks",06-08-2012,"Year 1","United States",OR,Curry,64,11,,"Rocky Point",42.7149,-124.4621,42.7139,-124.462,,37,102,"09:30 AM","10:30 AM",,Summer,Spring,05-08-2012,"Rain 2 days before this survey was taken. +20 Mph winds","Sunny; N wind 11mph",9,yes,,1.0,1,"No evidence of other clean ups.",Yes,Rubber,Tires,Sunken,.25,.91,"Tire was mostly sunken and had the ABS pipe ( or some car part) stuck inside of it. ",Yes
Accumulation,"Redfish Rocks",08-13-2012,"Year 1","United States",OR,Curry,66,11,,"Rocky Point",42.7149,-124.4621,42.7139,-124.462,,37,102,"03:30 PM","04:00 PM",,Summer,Summer,07-09-2012,none,"Sunny; N wind 17 mph",4,yes,,1.0,1,"None. only 2 pieces of trash, lots of sand built up on the beach",No,Metal,"Metal fragments","Buried ",.1,2.4,"Two long metal pieces of unknown origin. ",Yes
Standing-Stock,"Katmai National Park",06-03-2012,"Year 1","United States",AK,"Kodiak Island Borough",81,27,14,Swikshak,58.60049,-153.76366,58.60166,-153.76366,,308,100,"08:29 PM","08:36 PM",,Summer,spring,06-03-2012,unknown,"overcast, calm",2,yes,,1.0,1,"This is the first survey for this location. Date entered as 01-01-2000 as a date was required. 

324 meters were surveyed; 308 meters were below the first barrier and 16 meters were surveyed above the first barrier. 

Catalogued debris was not identified as recorded above or below first barrier (this is done in later surveys); however, substrate as documented in photos has allowed for some distinctions to be made. This information is described in the Debris Description section.

8/23/2013 - items found above the first barrier, previously included in overall count and in the large items section have been removed; debris above the first barrier is described in the debris notes section and may be included within the photos.",Yes,"Processed Lumber","Lumber/building material",stranded,0.05,0.39,"piece of processed lumber, painted white with rusting nail. ",No
Standing-Stock,"Katmai National Park",06-03-2012,"Year 1","United States",AK,"Kodiak Island Borough",81,27,14,Swikshak,58.60049,-153.76366,58.60166,-153.76366,,308,100,"08:29 PM","08:36 PM",,Summer,spring,06-03-2012,unknown,"overcast, calm",2,yes,,1.0,1,"This is the first survey for this location. Date entered as 01-01-2000 as a date was required. 

324 meters were surveyed; 308 meters were below the first barrier and 16 meters were surveyed above the first barrier. 

Catalogued debris was not identified as recorded above or below first barrier (this is done in later surveys); however, substrate as documented in photos has allowed for some distinctions to be made. This information is described in the Debris Description section.

8/23/2013 - items found above the first barrier, previously included in overall count and in the large items section have been removed; debris above the first barrier is described in the debris notes section and may be included within the photos.",Yes,"Processed Lumber","Lumber/building material",stranded,0.1,0.64,"weathered lumber",No
Standing-Stock,"Katmai National Park",08-10-2012,"Year 1","United States",AK,"Kodiak Island Borough",87,27,16,Swikshak,58.60049,-153.76366,58.60166,-153.76366,,83.2,100,"10:44 AM","10:58 AM",,Summer,summer,07-20-2012,unknown,"cloudy, 60F, wind 5-10mph",3,yes,,1.0,1,"83.2 meters surveyed from surf to first barrier; 38.1 meters surveyed above first barrier. Debris not identified as above or below first barrier; however, substrate in photos allows for some distinctions to be made.
8/23/2013 - items found above the first barrier, previously included in overall count and in the large items section have been removed; debris above the first barrier is described in the debris notes section and may be included within the photos.",Yes,Cloth/Fabric,"Rope/net pieces",buried,0.23,0.46,"big knot of rope found partially buried below first barrier",No
Standing-Stock,"Katmai National Park",07-17-2012,"Year 1","United States",AK,"Kodiak Island Borough",112,31,1,"Dakavak Bay",58.05952,-154.69616,58.05945,-154.69467,,98.1,100,"11:13 AM","11:24 AM",,Summer,summer,06-11-2012,unknown,"overcast, calm",3,yes,,1.0,1,"106 meters were surveyed; 98.1 meters were below the first barrier and 7.9 meters were surveyed above the first barrier. 

Debris was identified as having been found either above or below the first barrier for this survey; this information is described in the Debris Description section.

8/23/2013 - items found above the first barrier, previously included in overall count and in the large items section have been removed; debris above the first barrier is described in the debris notes section and may be included within the photos.",Yes,Plastic,Other,buried,0.12,0.48,"flyswatter.  Many flyswatters have been found along AK beaches this season. one of several articles: http://abclocal.go.com/wpvi/story?section=news/bizarre&id=8663702",No
Standing-Stock,"Katmai National Park",08-28-2012,"Year 1","United States",AK,"Kodiak Island Borough",118,31,12,"Dakavak Bay",58.05952,-154.69616,58.05945,-154.69467,,72,100,"10:32 AM","10:38 AM",,Summer,summer,07-17-2012,unknown,"sunny, wind not recorded",3,yes,,1.0,1,"87 meters were surveyed; 72 meters were below the first barrier and 15 meters were surveyed above the first barrier. Debris was identied as having been found either above or below the first barrier for this survey; this information is described in the Debris Description section.
8/23/2013 - items found above the first barrier, previously included in overall count and in the large items section have been removed; debris above the first barrier is described in the debris notes section and may be included within the photos.",Yes,"Processed Lumber","Lumber/building material",stranded,0.11,0.43,"weathered piece of lumber.",No
Standing-Stock,"Katmai National Park",06-11-2012,"Year 1","United States",AK,"Kodiak Island Borough",120,32,4,"Katmai Bay",58.00138,-154.97287,58.00157,-154.97144,,109,100,"11:55 AM","12:02 PM",,Summer,spring,01-01-2000,unknown,"overcast, light SW wind (<5mph)",3,yes,,1.0,1,"This is the first survey for this location. Date entered as 01-01-2000 as a date was required. 

164 meters were surveyed; 109 meters were below the first barrier and 55 meters were surveyed above the first barrier. The first barrier is a discontinuous vegetation line interupted by many lower wash zones. 

The location of the debris was not recorded as either above or below the first barrier for this survey; however, this was done at later dates.  Photos of debris allow for some distinctions to be made.  This information is written under the Debris Description section.",Yes,"Processed Lumber","Lumber/building material",stranded,0.45,1.14,"small piece of lumber with nails.",No
