Survey Type,Organization,Date,Survey Year,Country,State,County,Survey ID,MDMAP ID #,Transect ID,Shoreline Name,Latitude Start,Longitude Start,Latitude End,Longitude End,Slope,Width,Length,Start Time,End Time,Time of Low Tide,Database Season,Season,Storm Activity,Current Weather,Number of Persons Assisting,Large Items?,Debris Behind Back Barrier?,Datasheet Version,Notes,Photos?,Plastic,Hard Plastic Fragments,Foamed Plastic Fragments,Filmed Plastic Fragments,Food Wrappers,Plastic Beverage Bottles,Other Jugs/Containers,Bottle/Container Caps,Cigar Tips,Cigarettes,Disposable Cigarette Lighters,6-Pack Rings,Bags,Plastic Rope/Net,Buoys & Floats,Fishing Lures & Line,Cups,Plastic Utensils,Straws,Balloons Mylar,Personal Care Products,Plastic Other,Metal,Aluminum/Tin Cans,Aerosol Cans,Metal Fragments,Metal Other,Glass,Glass Beverage Bottles,Jars,Glass Fragments,Glass Other,Rubber,Flip Flops,Rubber Gloves,Tires,Balloons Latex,Rubber Fragments,Rubber Other,Processed Lumber,Cardboard Cartons,Paper and Cardboard,Paper Bags,Lumber/Building Material,Processed Lumber Other,Cloth/Fabric,Clothing & Shoes,Gloves (non-rubber),Towels/Rags,Rope/Net Pieces (non-nylon),Fabric Pieces,Cloth/Fabric Other,Unclassified,Total,Debris Description
Standing-Stock,Heal the Bay,6/8/12,Year 1,United States,CA,Los Angeles,18,13,13,Malaga Cove,33.8034,-118.395883,33.803061,-118.396797,,21.6,100,9:10 AM,9:21 AM,,Summer,Spring/summer,None,"sunny, mild wind",2,no,,1,,Yes,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,
Standing-Stock,Heal the Bay,6/8/12,Year 1,United States,CA,Los Angeles,19,13,16,Malaga Cove,33.8034,-118.395883,33.803061,-118.396797,,26.7,100,8:53 AM,9:01 AM,,Summer,Summer,None,"sunny, mild wind",2,no,,1,Flowing storm drain,No,30,0,0,0,4,1,1,0,0,0,0,0,3,0,0,0,19,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,1,34,
Standing-Stock,Heal the Bay,6/8/12,Year 1,United States,CA,Los Angeles,20,13,6,Malaga Cove,33.8034,-118.395883,33.803061,-118.396797,,20,100,9:42 AM,9:47 AM,,Summer,Spring/summer,None,"Sunny, breezy",2,no,,1,,No,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,
Standing-Stock,Heal the Bay,6/8/12,Year 1,United States,CA,Los Angeles,21,13,14,Malaga Cove,33.8034,-118.395883,33.803061,-118.396797,,20,100,9:25 AM,9:33 AM,,Summer,Spring/summer,None,Sunny,2,no,,1,,No,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
Standing-Stock,Heal the Bay,6/13/12,Year 1,United States,CA,Los Angeles,22,12,6,Carbon Beach,34.038266,-118.654316,34.0381166,-118.653316,,15.4,100,11:55 AM,12:10 PM,,Summer,Spring/summer,None,Overcast,2,no,,1,,Yes,17,3,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,
Standing-Stock,Heal the Bay,6/13/12,Year 1,United States,CA,Los Angeles,23,12,10,Carbon Beach,34.038266,-118.654316,34.0381166,-118.653316,,16.1,100,12:15 PM,12:26 PM,,Summer,Spring/summer,None,Overcast,2,no,,1,,No,33,3,1,23,1,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,35,
Standing-Stock,Heal the Bay,6/13/12,Year 1,United States,CA,Los Angeles,24,12,11,Carbon Beach,34.038266,-118.654316,34.0381166,-118.653316,,16.8,100,12:32 PM,12:42 PM,,Summer,Spring/summer,None,Overcast,2,no,,1,End time not recorded,No,25,0,0,18,3,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,
Standing-Stock,Heal the Bay,6/13/12,Year 1,United States,CA,Los Angeles,25,12,17,Carbon Beach,34.038266,-118.654316,34.0381166,-118.653316,,17.8,100,12:50 PM,1:07 PM,,Summer,Spring/summer,None,Overcast,2,no,,1,,No,47,7,0,22,11,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,
Standing-Stock,Heal the Bay,7/10/12,Year 1,United States,CA,Los Angeles,26,12,4,Carbon Beach,34.038266,-118.654316,34.0381166,-118.653316,,18.3,100,12:00 PM,12:00 PM,,Summer,Summer,None,"Clear, sunny",2,no,,1,Start and end time not recorded,Yes,8,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,12,
Standing-Stock,Heal the Bay,7/10/12,Year 1,United States,CA,Los Angeles,27,12,12,Carbon Beach,34.038266,-118.654316,34.0381166,-118.653316,,18.3,100,12:00 PM,12:00 PM,,Summer,Summer,None,"Clear, sunny",2,no,,1,No start or end time recorded.,No,19,2,0,11,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,31,
