CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,NatRef,lon_x1,lat_y1,lon_x2,lat_y2,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100,G101,G102,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G137,G138,G139,G140,G141,G142,G143,G144,G145,G147,G148,G150,G151,G152,G153,G154,G155,G156,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G171,G172,G174,G175,G176,G177,G178,G179,G180,G181,G182,G184,G186,G187,G188,G189,G190,G191,G193,G194,G195,G198,G199,G200,G201,G202,G203,G204,G205,G206,G207,G208,G210,G211,G213
Legambiente Onlus,"Spiaggia sul Lungomare Falcomat?, Reggio Calabria (RC)",IT,Mediterranean Sea,100,,,20160514,Cleanup,,15.64248,38.10975,15.64348,38.10975,,,15,,33,28,6,5,,4,,3,1,,1,,,117,,,,,4,2,4,,,,,,10,,,,,,,,,,,,,,,,2116,,,,1,61,,,,,,,,,,,,258,,,,,,,,,,,,,,,,,,2,2,,12,8,,,2,,,,,,,,,103,22,,5,,5,,,,2,,,10,,,348,,21,,,1,,,,,,,1,21,,15,1,16,2,,1,1,,,,,,,,,,,15,,,,1,54,,,22,,,,,,,1,,
Legambiente Onlus,"Spiaggia di Voltri, Genova (GE)",IT,Mediterranean Sea,100,,,20140516,Cleanup,,8.7507,44.42718,8.7517,44.42718,1,,,1,11,3,4,5,,3,7,1,,,,1,,81,,,,,7,67,7,,2,,7,7,33,,,2,,,,1,,1,,,1,2,,,,2,,,,,,1,,2,,40,3,,12,8,,1,25,,,,,,,,,,,,,,,,28,1,2,,2,9,,,45,,,,,,,,,,6,,,,,,,,,,1,4,,,2,,1,,,11,5,11,,,,,,,,2,,1,8,,1,3,,4,,,,,,,,1,6,,,,4,,7,,,,53,,,,,2,,
Surfrider Foundation Europe,"117 Via Rio Marina, 00054 Fregene, Italie",IT,Mediterranean Sea,83,,,20150515,Cleanup,,12.204,41.8304,12.205,41.8304,,,,,7,18,,,,,,,,,,,,27,,,,,5,42,,,,,3,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,3,,,,,4,,7,,,,,,,,,,,,150,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,2,,,
Surfrider Foundation Europe,Burumendi,ES,North-east Atlantic Ocean,21,Urban,Other (mixed),20160810,Cleanup,,-2.382333663,43.31267529,-2.382132439,43.31255091,,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Litter Report,sihl_leimbach_kruegerm,CH,,99,Urban,Pebbels,20170524,Cleanup,,8.519119455,47.32543607,8.519485579,47.32629067,,,,,,,,,,,,,,,,,,1,,,,2,,23,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,,1,,2,1,,,,,,,,,,4,,,,,3,2,,,,,,,,,,,1,,,,,,,,,,,,,,6,,,
Independent,"Porto Grande, Siracusa, Sicily",IT,Mediterranean Sea,1060,Rural,Other (mixed),20180704,Cleanup,,15.28651457,37.06224396,15.29248112,37.07045628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
DeFishGear - Slovenia,Bele skale 2 MS Monitoring ,SI,Mediterranean Sea,98,Rural,Pebbels,20141203,Cleanup,,13.62157753,45.53652475,13.62061998,45.53709824,,10,,,,,1,9,,,,1,,,,,,,4,1,,3,,,,,,1,,2,,1,,,,,,,,2,,,,1,,,,,,,3,,1,,,,1,2,,,,,,,,,5,,14,,,,,3,,,,,,,3,,1,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,2,,,,110,,,
Surfrider Foundation Europe,"Plage Le Gressier, 33680 Le porge, France",FR,North-east Atlantic Ocean,70,,,20150526,Cleanup,,1.57286,50.4063,1.57386,50.4063,,50,,,,,,,,,,,,,,,,,,,,,,200,,,50,100,10,10,,20,,,,,,,,,,,,60,,,,,,,40,,,,,,,,,,5,5,,,,,100,,150,,,,,,,,,,,,100,,,,,,,,,5,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,50,,,,,,,,50,,,
Independent,Carcavelos Beach,PT,North-east Atlantic Ocean,23,Near river mouth,Sandy,20151211,Cleanup,,-9.335719448,38.67984919,-9.335812775,38.67965465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Litter Report,zuerichsee_zurich_kullg,CH,,53,,,20171115,Cleanup,,8.550474341,47.35395734,8.55053981,47.3544311,,0,3,,0,0,,0,,,0,,,,,,,0,0,1,1,10,1,44,0,,21,0,1,1,1,2,,0,,,,,,,,,0,1,0,,,,,,0,,,,,0,2,19,,,0,0,,,,,30,0,5,0,,,,1,,0,0,0,,0,4,0,,,0,0,0,,0,2,0,,0,,,1,,0,0,0,0,,,,0,,0,0,3,,,0,1,0,0,0,0,0,0,0,,,,,0,,0,3,0,,0,0,0,6,0,,,0,,,,0,,,0,,0,0,0,3,0,,,0,0,,,,5,0,0,2
