"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
10642,"Bronx County, NY, USA","New York, USA","United States","40.875070572239, -73.815522050936","Land (beach, shoreline and inland)",2016-09-18,"Hutchinson River Restoration Project - Rae - Thomas Pell Wildlife Sanctuary",54,4,58,1335,2.5,89,686,1200,80,160,2400,320,0,0,0,750,1350,180,1200,400,120,240,110,600,12,40,600,20,0,40,0,1604,40,280,0,0,40,80,23,0,0,2,0,0,0,60,0,60,0,560,30,800,14087
10801,"Bronx County, NY, USA","New York, USA","United States","40.824179986621, -73.812189419577","Land (beach, shoreline and inland)",2016-09-17,"Edgewater Park Cooperative - Deihl - Edgewater Park Cooperative",19,1,20,50,0.25,6,443,109,4,1,358,70,4,129,2,3,3,1,4,22,0,0,0,3,1,1,34,1,0,0,530,0,0,2,0,0,0,3,1,31,2,0,0,0,0,0,3,5,0,68,667,156,2661
10807,"Bronx County, NY, USA","New York, USA","United States","40.869892845849, -73.784382589924","Land (beach, shoreline and inland)",2016-09-17,"NYC parks & Recreation - Kunstler - Twin Island",180,0,180,272,0.25,45,816,324,29,21,283,229,163,201,61,102,112,73,84,133,39,56,76,38,5,18,46,3,0,3,59,20,11,11,0,0,6,40,5,5,25,1,0,0,3,6,3,4,0,150,627,307,4198
10814,"Bronx County, NY, USA","New York, USA","United States","40.856726065984, -73.79423087018","Land (beach, shoreline and inland)",2016-09-17,"CI Community / PS 175 - Prohaska - City Island Bridge to Orchard Beach",3,5,8,90,0.25,6,22,58,10,3,79,19,10,78,7,45,50,12,70,68,24,6,16,12,3,3,14,0,0,2,25,1,14,9,0,0,3,3,1,0,7,0,0,0,5,0,1,3,0,0,0,12,695
21149,"Bronx County, NY, USA","New York, USA",,"40.80635, -73.79594","Watercraft (powerboat, sailboat, kayak or canoe)",2017-08-30,,1,0,1,0,0.2124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23006,"Bronx County, NY, USA","New York, USA","United States","40.84767, -73.87866","Land (beach, shoreline and inland)",2017-09-16,WCS,3,0,3,5.28,0.0032,0,7,4,1,1,1,0,0,0,1,1,1,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30
23867,"Bronx County, NY, USA","New York, USA","United States","40.816147745317, -73.872585296631","Land (beach, shoreline and inland)",2017-09-16,"Bronx River Alliance and REI",92,0,92,1441,2,0,253,904,162,188,568,343,170,337,75,701,384,526,558,468,584,425,231,391,6,21,40,73,0,17,500,31,54,79,0,9,16,38,21,57,35,1,0,0,44,8,12,32,0,1293,407,559,10621
27944,"Bronx County, NY, USA","New York, USA","United States","40.875682473689, -73.820113241673","Land (beach, shoreline and inland)",2017-09-17,"Thomas Pell Wildlife Sanctuary - Rae",28,11,39,570,2.5,38,450,1227,194,123,2005,1040,310,480,230,414,286,226,860,410,80,30,280,123,0,0,156,12,0,104,60,92,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9199
28033,"Bronx County, NY, USA","New York, USA","United States","40.856540801333, -73.794448524714","Land (beach, shoreline and inland)",2017-09-16,"City Island Bridge - Orchard Beach - Prohaska",3,8,11,75,0.25,5,26,30,11,0,90,14,10,76,8,27,4,8,18,19,8,6,3,0,2,4,8,6,0,0,25,6,0,4,0,0,0,3,2,0,4,0,0,0,0,0,0,4,0,0,0,4,430
28579,"Bronx County, NY, USA","New York, USA","United States","40.870002215662, -73.784241378307","Land (beach, shoreline and inland)",2017-09-16,"Orchard Beach / Twin Islands - Kunstler",32,3,35,265,0.5,36,486,353,40,32,378,134,36,231,44,139,183,153,187,162,17,29,34,24,7,26,154,10,0,8,40,4,13,25,0,1,10,32,6,22,9,1,0,0,11,16,6,12,0,414,220,958,4667
31374,"Bronx County, NY, USA","New York, USA","United States","40.814397338168, -73.865227997303","Land (beach, shoreline and inland)",2017-09-16,"Soundview Park - Feliberty",92,0,92,1441,2,63,253,904,162,188,568,343,170,337,75,701,384,526,558,468,584,425,231,391,6,21,40,73,0,17,500,31,54,79,0,9,16,38,21,57,35,1,0,0,44,8,12,32,0,1293,407,559,10621
48409,"Bronx County, NY, USA","New York, USA","United States","40.826019009599, -73.884707382392","Watercraft (powerboat, sailboat, kayak or canoe)",2018-09-15,"Bronx River Alliance",6,0,6,88,1.5,4,0,11,1,0,10,0,0,5,1,21,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,3,0,4,69
48525,"Bronx County, NY, USA","New York, USA","United States","40.819942924655, -73.871908711327","Land (beach, shoreline and inland)",2018-09-15,"Bronx River Alliance",68,0,68,1518,1.31,69,9,374,31,17,203,25,80,100,28,337,94,91,309,290,25,46,127,96,10,5,30,15,0,6,101,12,95,21,0,2,14,1,9,35,0,9,2,0,9,5,4,13,0,370,153,193,3396
