"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
3992,"Mumbai Suburban, Maharashtra, India","Maharashtra, India",India,"19.09849, 72.82695","Land (beach, shoreline and inland)",2016-09-17,4,8,0,8,0.85,0.0121,0,0,4,3,0,0,0,0,0,5,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,24
3993,"Mumbai Suburban, Maharashtra, India","Maharashtra, India",India,"19.07161, 72.82435","Land (beach, shoreline and inland)",2016-09-17,9,5,0,5,8.89,0.5829,0,0,16,7,10,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,7,81
4008,"Mumbai Suburban, Maharashtra, India","Maharashtra, India",India,"19.11421, 72.84859","Land (beach, shoreline and inland)",2016-09-17,4,10,0,10,10.45,0.0725,0,7,62,18,3,16,0,9,7,9,12,0,2,13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,26,0,2,0,0,0,0,0,1,21,0,0,0,0,0,0,0,96,308
4009,"Mumbai Suburban, Maharashtra, India","Maharashtra, India",India,"19.13885, 72.83451","Land (beach, shoreline and inland)",2016-09-17,6,6,0,6,14.35,0.0244,0,3,28,8,32,0,0,0,1,0,0,16,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,34,147
4076,"Mumbai Suburban, Maharashtra, India","Maharashtra, India",India,"19.10715, 72.82691","Land (beach, shoreline and inland)",2016-09-17,"Devi, Mahek, Sehej, Kashish, Utkarsh, and Moh",1,0,1,3.75,0.3017,0,1,6,3,6,13,0,1,9,0,2,4,4,12,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,78
12629,"Mumbai Suburban, Maharashtra, India",,India,"19.100844975715, 72.825131392165","Land (beach, shoreline and inland)",2016-09-17,"Black & Veatch",57,0,57,159.84,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12631,"Pune, Maharashtra, India","Maharashtra, India",India,"18.572723200852, 73.848276326316","Land (beach, shoreline and inland)",2016-10-22,"Black & Veatch",52,0,52,947.99,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12836,"Tiruvallur, Tamil Nadu, India","Tamil Nadu, India",India,"13.419172139725, 80.318727493327","Land (beach, shoreline and inland)",2016-09-10,"C Mohan",165,0,165,3527.4,3.11,50,420,490,30,75,350,298,92,167,342,650,250,29,240,330,150,120,600,9,3,125,3,11,0,6,80,310,2,700,0,0,3,0,40,0,0,19,0,0,0,0,0,0,0,223,400,165,6732
12872,"Tiruvallur, Tamil Nadu, India","Tamil Nadu, India",India,"13.400291868632, 80.323963165283","Land (beach, shoreline and inland)",2016-09-17,Sofia,200,15,215,1653.47,3.11,30,122,238,624,321,661,120,610,21,220,811,386,230,1024,365,724,125,820,116,2,0,0,0,0,1,22,555,125,25,0,0,2,377,35,312,6,8,0,0,0,0,0,0,0,25,94,185,9312
12873,"Tiruvallur, Tamil Nadu, India",,India,"13.255971239089, 80.338554382652","Land (beach, shoreline and inland)",2016-09-17,"Sravan Kumar",105,0,105,1437.41,3.11,20,30,154,725,120,1650,201,660,63,20,165,330,126,800,307,29,320,392,42,2,17,0,41,0,0,12,28,15,48,0,0,4,15,6,140,3,6,2,0,0,10,2,0,0,22,67,209,6783
